,"time (days)","time_years"
220,4400,12.0547945205479
221,4420,12.1095890410959
222,4440,12.1643835616438
223,4460,12.2191780821918
224,4480,12.2739726027397
225,4500,12.3287671232877
226,4520,12.3835616438356
227,4540,12.4383561643836
228,4560,12.4931506849315
229,4580,12.5479452054795
230,4600,12.6027397260274
231,4620,12.6575342465753
232,4640,12.7123287671233
233,4660,12.7671232876712
234,4680,12.8219178082192
235,4700,12.8767123287671
236,4720,12.9315068493151
237,4740,12.986301369863
238,4760,13.041095890411
239,4780,13.0958904109589
240,4800,13.1506849315068
241,4820,13.2054794520548
242,4840,13.2602739726027
243,4860,13.3150684931507
244,4880,13.3698630136986
245,4900,13.4246575342466
246,4920,13.4794520547945
247,4940,13.5342465753425
248,4960,13.5890410958904
249,4980,13.6438356164384
250,5000,13.6986301369863
