,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
135,111.6094,0.29447,0.3099,0.33129,0.34493,0.35261
136,112.4394,0.29403,0.30949,0.33104,0.34481,0.35259
137,113.2594,0.29358,0.30908,0.33079,0.3447,0.35256
138,114.0894,0.29314,0.30868,0.33053,0.34459,0.35253
139,114.9194,0.29269,0.30827,0.33028,0.34447,0.3525
140,115.7394,0.29224,0.30786,0.33003,0.34436,0.35248
141,116.5694,0.29184,0.30747,0.32978,0.34424,0.35245
142,117.3994,0.29147,0.30709,0.32953,0.34413,0.35242
143,118.2194,0.29109,0.30671,0.32928,0.34401,0.35239
144,119.0494,0.29071,0.30633,0.32903,0.3439,0.35236
145,119.8794,0.29033,0.30595,0.32878,0.34378,0.35233
146,120.6994,0.28995,0.30557,0.32853,0.34366,0.35231
147,121.5294,0.28959,0.30519,0.32827,0.34355,0.35228
148,122.3594,0.28923,0.30482,0.32802,0.34343,0.35225
149,123.1794,0.28888,0.30445,0.32777,0.34331,0.35222
150,124.0094,0.28853,0.30408,0.32752,0.34319,0.35219
151,124.8394,0.28817,0.30372,0.32727,0.34307,0.35216
152,125.6594,0.28782,0.30335,0.32702,0.34296,0.35213
153,126.4894,0.28746,0.30298,0.32677,0.34284,0.3521
154,127.3194,0.28711,0.30261,0.32652,0.34272,0.35208
155,128.1394,0.28676,0.30224,0.32627,0.3426,0.35205
156,128.9694,0.2864,0.30187,0.32602,0.34248,0.35202
157,129.7994,0.28605,0.3015,0.32577,0.34237,0.35199
158,130.6194,0.28576,0.30117,0.32553,0.34225,0.35196
159,131.4494,0.28548,0.30085,0.32529,0.34213,0.35193
160,132.2794,0.28521,0.30053,0.32505,0.34202,0.3519
161,133.0994,0.28493,0.3002,0.32482,0.3419,0.35187
162,133.9294,0.28465,0.29988,0.32458,0.34179,0.35184
163,134.7594,0.28437,0.29955,0.32434,0.34167,0.35182
164,135.5794,0.28409,0.29923,0.3241,0.34156,0.35179
165,136.4094,0.28381,0.29891,0.32386,0.34144,0.35176
166,137.2394,0.2835,0.29856,0.32362,0.34132,0.35173
167,138.0594,0.2832,0.29822,0.32337,0.3412,0.3517
168,138.8894,0.28289,0.29787,0.32312,0.34109,0.35167
169,139.7194,0.28258,0.29752,0.32288,0.34097,0.35164
170,140.5394,0.28227,0.29718,0.32263,0.34085,0.35161
171,141.3694,0.28197,0.29683,0.32238,0.34073,0.35158
172,142.1994,0.28166,0.29648,0.32214,0.34061,0.35155
173,143.0194,0.28135,0.29614,0.32189,0.34049,0.35152
174,143.8494,0.28104,0.29579,0.32164,0.34038,0.3515
175,144.6794,0.28074,0.29545,0.3214,0.34026,0.35147
176,145.4994,0.28043,0.2951,0.32115,0.34014,0.35144
177,146.3294,0.28015,0.29477,0.32091,0.34002,0.35141
178,147.1594,0.27993,0.29449,0.32068,0.3399,0.35138
179,147.9894,0.27971,0.2942,0.32045,0.33979,0.35135
180,148.8094,0.27949,0.29391,0.32022,0.33967,0.35132
181,149.6394,0.27927,0.29362,0.31999,0.33956,0.35129
