,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
56,0.963539968,,,,,,1223.110918,-18.62001697,0.411702109,214911.7985,0.852233696,0.84815193,4.553298466,Ol1A
57,2.51925336,,,,,,1167.432448,-18.09904435,0.517377958,206960.8638,0.852166076,0.847867858,6.788648993,Ol1A
58,0.606022292,,,,,,1208.697551,-18.60183536,0.316425692,201805.5361,0.851803789,0.848139637,6.741896477,Ol1A
59,5.333647092,,,,,,1202.656746,-18.63908191,0.419247773,230403.4724,0.852115337,0.847986154,7.745713359,Ol1A
60,0.760161703,,,,,,1188.644922,-18.17182348,0.420443279,202595.8252,0.852299519,0.847935545,0.962477102,Ol1A
61,0.341165585,,,,,,1204.187209,-18.25366796,0.444868887,182211.4125,0.85204102,0.848127113,0.865910228,Ol1A
62,2.971656008,,,,,,1188.836903,-18.50591835,0.492906979,205416.7565,0.851893889,0.847828723,5.527054599,Ol1A
63,1.006957514,,,,,,1186.856038,-19.06870749,0.241505406,207652.2812,0.852168628,0.848015635,7.274985176,Ol1A
64,0.973944777,,,,,,1202.988636,-19.21921798,0.303109426,205968.6104,0.851901381,0.84816955,4.933766713,Ol1A
65,0.616765848,,,,,,1205.114894,-18.82206838,0.46016855,200780.2605,0.851750689,0.848153667,6.260025377,Ol1A
66,0.256208759,,,,,,1211.540474,-18.61884218,0.454250441,201197.4278,0.85223694,0.847890358,5.953410114,Ol1A
67,0.313581747,,,,,,1211.533344,-19.119133,0.469854718,190449.7165,0.852274477,0.847994125,7.040688987,Ol1A
68,0.28051595,,,,,,1214.904225,-18.35564855,0.395267388,176945.3713,0.85188865,0.84804339,1.59053587,Ol1A
69,0.280454281,,,,,,1226.420989,-18.37764062,0.378453533,196526.3856,0.852063065,0.847946886,2.263557833,Ol1A
70,0.311427477,,,,,,1200.548504,-18.38328721,0.324709206,190188.6788,0.851920432,0.848081341,7.444596405,Ol1A
71,3.451537074,,,,,,1205.552417,-18.35765069,0.343360778,225504.5013,0.851579169,0.848029405,3.248183569,Ol1A
72,0.122801517,,,,,,1205.254952,-19.07640114,0.449129857,178378.3777,0.85170183,0.847820532,4.907323379,Ol1A
73,0.983937357,,,,,,1205.704657,-19.52190233,0.211197738,207770.2329,0.852227236,0.847892918,7.073030408,Ol1A
74,1.938615578,,,,,,1176.525784,-18.52466898,0.490048842,217259.062,0.851683026,0.848047316,3.896996689,Ol1A
75,1.667244755,,,,,,1216.901305,-18.94591542,0.420939103,215769.6396,0.851934146,0.847903736,3.091439903,Ol1A
76,0.999255418,,,,,,1203.536962,-18.54359247,0.320388039,199410.7321,0.851956544,0.847808645,1.140448952,Ol1A
77,1.239221104,,,,,,1214.99485,-18.35118421,0.399350304,214280.6821,0.851762987,0.84813725,6.801503577,Ol1A
78,3.302420591,,,,,,1206.162614,-18.8275263,0.484135025,209744.9847,0.85227982,0.84788175,4.758021486,Ol1A
79,0.281299253,,,,,,1200.12062,-18.21395883,0.617667021,189117.4202,0.851965758,0.847882348,1.136914255,Ol1A
80,1.500376404,,,,,,1198.381769,-18.3156843,0.413059724,203551.5868,0.852365395,0.848070671,4.564687651,Ol1A
81,0.148982037,,,,,,1194.984904,-18.66482251,0.335969473,182616.2386,0.852252265,0.847927546,1.644348322,Ol1A
82,0.414841308,,,,,,1213.308047,-18.47684021,0.496461989,186123.3054,0.852390824,0.847973655,4.109780852,Ol1A
83,3.815052591,,,,,,1206.185739,-17.79893737,0.392074626,211585.1332,0.852373636,0.847983635,0.653402773,Ol1A
84,1.878566977,,,,,,1188.332699,-18.67961187,0.496725807,208060.5393,0.852042387,0.847833014,2.51661956,Ol1A
85,0.323193369,,,,,,1198.558327,-18.26530526,0.499903812,192144.3658,0.852203711,0.848150286,5.017840878,Ol1A
86,0.54032519,,,,,,1187.034623,-18.65301473,0.431491064,183713.8152,0.851549687,0.847919881,6.988139022,Ol1A
87,3.182252174,,,,,,1189.609218,-18.39174996,0.570556857,208223.9175,0.851776102,0.848119733,4.093956752,Ol1A
