,"Pressure_bars","P_MPa","H2O_liq","CO2_liq","XH2O_fl","XCO2_fl","FluidProportion_wt"
267,520,52,0.589147299329715,0.032534907601234,0.135465707186058,0.864534292813942,0.199558412210198
268,510,51,0.588878985470063,0.031837817761979,0.137679935917755,0.862320064082245,0.200527907183015
269,500,50,0.588599391738157,0.031140559571184,0.139974836351486,0.860025163648514,0.201508879723746
270,490,49,0.588307777487073,0.030443138142336,0.142355063713501,0.857644936286499,0.202502067769083
271,480,48,0.588003335601174,0.029745559467412,0.144825637721757,0.855174362278243,0.203508275051921
272,470,47,0.587685184941041,0.029047830519025,0.147391978305916,0.852608021694084,0.204528378576603
273,460,46,0.587352361723336,0.02834995936644,0.150059945724612,0.849940054275388,0.205563337148356
274,450,45,0.587003809586614,0.027651955305798,0.152835886357684,0.847164113642316,0.206614201206391
275,440,44,0.586638368322538,0.026953829011789,0.155726683121929,0.844273316878071,0.207682123973634
276,430,43,0.586254760875398,0.026255592710449,0.158739812716764,0.841260187283237,0.208768374321889
277,420,42,0.585851578345614,0.025557260377955,0.161883410310165,0.838116589689835,0.209874351612406
278,410,41,0.58542726264755,0.024858847970273,0.165166342669015,0.834833657330985,0.2110016028576
279,400,40,0.584980086404139,0.024160373689712,0.168598290862556,0.831401709137444,0.212151842616362
280,390,39,0.584508129491806,0.023461858294238,0.172189844544334,0.827810155455666,0.213326976205138
281,380,38,0.58400925165205,0.022763325458904,0.175952609020727,0.824047390979273,0.214529126800389
282,370,37,0.583481060263677,0.022064802198794,0.179899328139817,0.820100671860183,0.215760667331379
283,360,36,0.582920872463802,0.021366319367294,0.184044024014134,0.815955975985866,0.217024257962943
284,350,35,0.582325670208232,0.020667912244057,0.188402158121826,0.811597841878174,0.218322890566856
285,340,34,0.581692046862383,0.019969621232904,0.192990816290963,0.807009183709037,0.219659941573322
286,330,33,0.581016143366542,0.019271492693686,0.197828922084487,0.802171077915513,0.221039235139156
287,320,32,0.580293571580121,0.018573579938409,0.202937483363931,0.797062516636069,0.222465119002765
288,310,31,0.579519321650104,0.01787594443186,0.208339878583382,0.791660121416618,0.223942556147205
289,300,30,0.578687649717311,0.01717865724111,0.21406218797327,0.78593781202673,0.225477235920291
290,290,29,0.577791940538132,0.01648180080435,0.220133580819554,0.779866419180446,0.227075709974867
291,280,28,0.576824538846349,0.015785471092476,0.226586765822919,0.773413234177081,0.228745559141942
292,270,27,0.575776540704581,0.0150897802728,0.233458517739995,0.766541482260005,0.230495599893727
293,260,26,0.574637533689649,0.014394860010326,0.240790293219694,0.759209706780306,0.232336141435355
294,250,25,0.573395271014964,0.01370086558746,0.248628951444129,0.751371048555871,0.234279308164672
295,240,24,0.572035259766339,0.013007981076128,0.257027596612276,0.742972403387724,0.236339447118346
296,230,23,0.570540236307786,0.012316425893712,0.266046562282856,0.733953437717144,0.238533647051936
297,220,22,0.568889492770209,0.011626463145177,0.275754554882294,0.724245445117706,0.240882404879937
298,210,21,0.567058004556777,0.010938410346203,0.286229975288355,0.713770024711645,0.243410488996921
299,200,20,0.565015290325017,0.010252653304551,0.297562427522601,0.702437572477398,0.246148067295449
300,190,19,0.56272390889099,0.009569664209597,0.309854409450759,0.690145590549241,0.249132194436702
301,180,18,0.560137459496676,0.00889002539225,0.323223148804359,0.676776851195641,0.252408790503315
302,170,17,0.557197897856409,0.008214460692987,0.337802489133642,0.662197510866359,0.256035296660169
303,160,16,0.553831903990342,0.007543877165165,0.353744625510766,0.646255374489234,0.260084268940924
304,150,15,0.549945932009064,0.006879420563526,0.371221304023838,0.628778695976162,0.264648276124016
305,140,14,0.545419428873607,0.006222548908216,0.390423787099131,0.609576212900869,0.269846609391202
306,130,13,0.540095528674607,0.005575129905402,0.411560373157916,0.588439626842084,0.275834489294316
307,120,12,0.533768329642614,0.00493956651962,0.434849461759202,0.565150538240798,0.282815654097977
308,110,11,0.526165713633309,0.004318953518817,0.460505034581225,0.539494965418775,0.291059358114988
309,100,10,0.516926749622516,0.003717257607576,0.488710136135857,0.511289863864143,0.300922728924449
310,90,9,0.505573381465092,0.003139492339071,0.519573263235552,0.480426736764448,0.312878780833339
311,80,8,0.491477793448197,0.002591816308578,0.553064612112478,0.446935387887522,0.327548708870909
312,70,7,0.473829508191565,0.002081419782657,0.588937900199695,0.411062099800305,0.345734460103183
313,60,6,0.45160719692216,0.001616012722891,0.626663079252462,0.373336920747538,0.368446676206686
314,50,5,0.423549963643061,0.001202781755114,0.665421676030041,0.334578323969959,0.39693323943372
315,40,4,0.388081487712497,0.000846963939033,0.704226277173095,0.295773722826905,0.432754654324987
316,30,3,0.34302946600417,0.000550627436263,0.742190638502662,0.257809361497338,0.478062433916723
317,20,2,0.284644927784052,0.000312452627872,0.778942309612325,0.221057690387674,0.53657162002052
318,10,1,0.203535750507325,0.00012903966857,0.81546261015421,0.18453738984579,0.617593029371518
319,5,0.5,0.144367902132183,5.71192583230357E-05,0.835298432198045,0.164701567801955,0.676552089108909
320,1,0.1,0.064554640660714,9.86368325644596E-06,0.856143685616054,0.143856314383946,0.75592355395186
