"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol5B_main",207.67539,39.293,,0.028977,0.079749,12.3511,0.157422,47.3786,0.182918,0.368545,0,99.840311,87.241272493736,0.033866382731539,0.87241272493736,0.000338663827315,1
"Ol5B_main",212.9846,39.2305,,0.031603,0.077725,12.3879,0.158331,47.3385,0.17648,0.369972,0.001037,99.772048,87.1986719983832,0.033981164800778,0.871986719983832,0.000339811648008,1
"Ol5B_main",218.324,39.7616,,0.034432,0.081619,12.5125,0.17343,47.8349,0.183625,0.376959,0.001644,100.960709,87.2034000136652,0.033915856970943,0.872034000136652,0.000339158569709,1
"Ol5B_main",228.8984,39.3888,,0.033767,0.076844,12.3121,0.155908,47.4019,0.181613,0.372388,0.001116,99.924436,87.2818924138561,0.03390861481023,0.872818924138561,0.000339086148102,1
"Ol5B_main",234.251,39.3283,,0.031357,0.078348,12.343,0.155961,47.4163,0.179865,0.371155,0.001148,99.905434,87.257419435692,0.03392596224559,0.87257419435692,0.000339259622456,1
"Ol5B_main",239.608,39.2708,,0.033766,0.082054,12.307,0.166404,47.2992,0.182947,0.373076,0.001406,99.716653,87.2624023504767,0.033896929814034,0.872624023504767,0.00033896929814,1
"Ol5B_main",244.8994,39.304,,0.031027,0.07861,12.3752,0.151533,47.3516,0.179593,0.375659,0.003375,99.850597,87.2132032435215,0.034001414892899,0.872132032435215,0.000340014148929,1
"Ol5B_main",250.2582,39.3708,,0.030619,0.081027,12.2836,0.164068,47.3523,0.183365,0.375364,0.000977,99.84212,87.2959897178648,0.033822480064828,0.872959897178648,0.000338224800648,1
"Ol5B_main",255.6153,39.3402,,0.033247,0.078412,12.2532,0.160452,47.3234,0.179117,0.377092,0.003802,99.748922,87.316685011147,0.033781614991511,0.87316685011147,0.000337816149915,1
"Ol5B_main",260.9148,39.4048,,0.032854,0.079208,12.2919,0.163346,47.4543,0.182818,0.376982,0.005815,99.992023,87.3123527886924,0.033770450008312,0.873123527886924,0.000337704500083,1
"Ol5B_main",266.2656,39.3285,,0.031944,0.08008,12.3085,0.16834,47.4105,0.167582,0.380468,0.006745,99.882659,87.2871514942884,0.033766263218574,0.872871514942884,0.000337662632186,1
"Ol5B_main",271.6226,39.4168,,0.032261,0.082418,12.2631,0.155172,47.3907,0.178148,0.378867,0.008261,99.905727,87.3234776781504,0.033714437266134,0.873234776781504,0.000337144372661,1
"Ol5B_main",276.9221,39.3253,,0.034671,0.083737,12.333,0.158934,47.409,0.182603,0.378343,0.035779,99.941367,87.2647175827744,0.033804900569493,0.872647175827744,0.000338049005695,1
"Ol5B_main",282.2729,39.4808,,0.036716,0.086464,12.3462,0.163633,47.5668,0.179632,0.373593,0.10111,100.334948,87.2897376061057,0.033737195161258,0.872897376061057,0.000337371951613,1
"Ol5B_main",287.5372,39.3766,,0.035203,0.088346,12.2759,0.163045,47.4007,0.18028,0.380039,0.088618,99.988731,87.3142621825771,0.03370672666447,0.873142621825771,0.000337067266645,1
"Ol5B_main",292.8367,39.3732,,0.038686,0.082123,12.2585,0.164971,47.434,0.185737,0.372153,0.028832,99.938202,87.3377333511074,0.033668334541474,0.873377333511074,0.000336683345415,1
"Ol5B_main",298.1989,39.4387,,0.033475,0.0814,12.3375,0.162903,47.2898,0.177869,0.378378,0.00664,99.906665,87.2326513777978,0.03389238453083,0.872326513777978,0.000338923845308,1
"Ol5B_main",303.5576,39.5773,,0.033069,0.08211,12.2736,0.158188,47.3656,0.181143,0.375767,0,100.046777,87.30813128032,0.033765341589664,0.8730813128032,0.000337653415897,1
