,Index,Model step,Time (s),Pressure (MPa),H2O_ol boundary (ppm),H2O_melt (wt%)
62,62.0,6200.0,30545.333333331288,43.45263017534502,5.277855538633146,0.5864283931814607
63,63.0,6300.0,31037.999999997915,42.95993066204413,5.276147450565188,0.5862386056183542
64,64.0,6400.0,31530.666666664543,42.467231148743245,5.274359620039423,0.5860399577821581
65,65.0,6500.0,32023.33333333117,41.97453163544236,5.2725669454685535,0.5858407717187282
66,66.0,6600.0,32515.9999999978,41.48183212214147,5.270685404227255,0.5856317115808061
67,67.0,6700.0,33008.66666666443,40.989132608840585,5.268801627075561,0.5854224030083957
68,68.0,6800.0,33501.33333333106,40.4964330955397,5.266818715418165,0.5852020794909073
69,69.0,6900.0,33993.999999997686,40.00373358223881,5.264835803760771,0.5849817559734191
70,70.0,7000.0,34486.666666664314,39.511034068937924,5.262743839977709,0.5847493155530789
71,71.0,7100.0,34979.33333333094,39.01833455563704,5.260651043508661,0.5845167826120734
