"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol1A",70.7658,39.1406177944189,,0.02623,0.050674,14.5444883923379,0.18268,45.3401350066726,0.21971,0.218119,0.024841,99.7474951934295,84.748587569536,0.038240094569765,0.84748587569536,0.000382400945698,1
"Ol1A",75.4144,38.9484194979125,,0.026547,0.049029,14.5049966948776,0.189506,45.4730914425696,0.219927,0.220054,0.024893,99.6564636353598,84.8214346802887,0.038078201059825,0.848214346802887,0.000380782010598,1
"Ol1A",80.1899,39.1466405007965,,0.025518,0.048221,14.4781625927571,0.184453,45.3561574514177,0.215047,0.222335,0.022851,99.6993855449714,84.8121225667995,0.03809444041665,0.848121225667995,0.000380944404166,1
"Ol1A",84.8355,39.2302187594752,,0.025956,0.047192,14.429253644364,0.184143,45.2987353978903,0.220805,0.216829,0.021767,99.6748998017296,84.8393720159769,0.038045050784284,0.848393720159768,0.000380450507843,1
"Ol1A",89.5926,39.0964512809832,,0.025764,0.043448,14.5535006002199,0.184782,45.3682986828394,0.219028,0.2194,0.018499,99.7291715640425,84.7486073836351,0.038213932078797,0.847486073836351,0.000382139320788,1
"Ol1A",94.3322,39.2034863960799,,0.025732,0.046882,14.455885224959,0.189151,45.5656434525877,0.216372,0.222709,0.014959,99.9408200736266,84.8911456479911,0.037920929822526,0.848911456479911,0.000379209298225,1
"Ol1A",99.0177,39.0662320875797,,0.026911,0.045493,14.4710743393668,0.182448,45.2346456189101,0.221752,0.215925,0.017273,99.4817540458566,84.7838532278204,0.038209151395904,0.847838532278204,0.000382091513959,1
"Ol1A",103.757,39.1529801917203,,0.023877,0.045319,14.4360381154662,0.183938,45.2393229785561,0.222275,0.219245,0.014267,99.5372622857427,84.8164308331468,0.038095026892982,0.848164308331468,0.00038095026893,1
"Ol1A",108.41,39.1846786463393,,0.025754,0.043735,14.4309750773302,0.18672,45.1829956262225,0.216035,0.220566,0.010501,99.5019603498921,84.8049001362838,0.038140735361843,0.848049001362838,0.000381407353618,1
"Ol1A",113.14,39.1877428302858,,0.024768,0.042332,14.396141374955,0.184206,45.2905748980823,0.22534,0.220186,0.003433,99.5747241033231,84.8665846901107,0.038001213570063,0.848665846901107,0.000380012135701,1
"Ol1A",117.916,39.2792457026192,,0.02401,0.0419,14.4455566271617,0.184095,45.1565237609916,0.229645,0.222811,0.003925,99.5877120907725,84.784322650792,0.038141763533993,0.84784322650792,0.00038141763534,1
"Ol1A",122.568,39.2272602370441,,0.025609,0.042708,14.5218059814889,0.18645,45.3314769154129,0.222484,0.221947,0.01372,99.7934611339459,84.7662837772299,0.038135244401559,0.847662837772298,0.000381352444016,1
"Ol1A",127.322,39.3326047678945,,0.026212,0.044404,14.4953769224193,0.184918,45.2708702765946,0.230079,0.224344,0.016944,99.8257529669084,84.7725294747547,0.038161569960074,0.847725294747547,0.000381615699601,1
"Ol1A",132.061,39.2335999279679,,0.025891,0.043404,14.4145708337698,0.186387,45.2540516855268,0.22172,0.222482,0.003713,99.6058194472645,84.8397730636064,0.038113873891902,0.848397730636064,0.000381138738919,1
"Ol1A",136.714,39.2592756762093,,0.026895,0.044345,14.432493988771,0.191326,45.1860806932232,0.222796,0.22454,0.004978,99.5927303582035,84.8044237152834,0.038196233405493,0.848044237152834,0.000381962334055,1
